Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71
-13.5,-1.35,1.9558,"",NaN,0,,"",NaN,-13.5,-1.35,1.9558,"",NaN,0,,"",NaN,-13.5,-40.5,2.37,NaN,NaN,0,,"",NaN,-13.5,-1.35,1.9558,"",NaN,0,,"",NaN,-13.5,-1.35,1.9558,"",NaN,0,,"",NaN,-13.5,-1.35,1.9558,"",NaN,0,,"",NaN,-13.5,-1.35,1.9558,"",NaN,0,,"",NaN,-13.5,-1.35,1.9558,"",NaN,0,,""
-13,-1.3,1.9304,"",NaN,0,,"",NaN,-13,-1.3,1.9304,"",NaN,0,,"",NaN,-13,-39,2.34,NaN,NaN,0,,"",NaN,-13,-1.3,1.9304,"",NaN,0,,"",NaN,-13,-1.3,1.9304,"",NaN,0,,"",NaN,-13,-1.3,1.9304,"",NaN,0,,"",NaN,-13,-1.3,1.9304,"",NaN,0,,"",NaN,-13,-1.3,1.9304,"",NaN,0,,""
-12.5,-1.25,1.905,"",NaN,0,,"",NaN,-12.5,-1.25,1.905,"",NaN,0,,"",NaN,-12.5,-37.5,2.31,NaN,NaN,0,,"",NaN,-12.5,-1.25,1.905,"",NaN,0,,"",NaN,-12.5,-1.25,1.905,"",NaN,0,,"",NaN,-12.5,-1.25,1.905,"",NaN,0,,"",NaN,-12.5,-1.25,1.905,"",NaN,0,,"",NaN,-12.5,-1.25,1.905,"",NaN,0,,""
-12,-1.2,1.8796,"",NaN,0,,"",NaN,-12,-1.2,1.8796,"",NaN,0,,"",NaN,-12,-36,2.28,NaN,NaN,0,,"",NaN,-12,-1.2,1.8796,"",NaN,0,,"",NaN,-12,-1.2,1.8796,"",NaN,0,,"",NaN,-12,-1.2,1.8796,"",NaN,0,,"",NaN,-12,-1.2,1.8796,"",NaN,0,,"",NaN,-12,-1.2,1.8796,"",NaN,0,,""
-11.5,-1.15,1.8542,"",NaN,0,,"",NaN,-11.5,-1.15,1.8542,"",NaN,0,,"",NaN,-11.5,-34.5,2.25,NaN,NaN,0,,"",NaN,-11.5,-1.15,1.8542,"",NaN,0,,"",NaN,-11.5,-1.15,1.8542,"",NaN,0,,"",NaN,-11.5,-1.15,1.8542,"",NaN,0,,"",NaN,-11.5,-1.15,1.8542,"",NaN,0,,"",NaN,-11.5,-1.15,1.8542,"",NaN,0,,""
-11,-1.1,1.8288,"",NaN,0,,"",NaN,-11,-1.1,1.8288,"",NaN,0,,"",NaN,-11,-33,2.22,NaN,NaN,0,,"",NaN,-11,-1.1,1.8288,"",NaN,0,,"",NaN,-11,-1.1,1.8288,"",NaN,0,,"",NaN,-11,-1.1,1.8288,"",NaN,0,,"",NaN,-11,-1.1,1.8288,"",NaN,0,,"",NaN,-11,-1.1,1.8288,"",NaN,0,,""
-10.5,-1.05,1.8034,"",NaN,0,,"",NaN,-10.5,-1.05,1.8034,"",NaN,0,,"",NaN,-10.5,-31.5,2.19,NaN,NaN,0,,"",NaN,-10.5,-1.05,1.8034,"",NaN,0,,"",NaN,-10.5,-1.05,1.8034,"",NaN,0,,"",NaN,-10.5,-1.05,1.8034,"",NaN,0,,"",NaN,-10.5,-1.05,1.8034,"",NaN,0,,"",NaN,-10.5,-1.05,1.8034,"",NaN,0,,""
-10,-1,1.778,"",NaN,0,,"",NaN,-10,-1,1.778,"",NaN,0,,"",NaN,-10,-30,2.16,NaN,NaN,0,,"",NaN,-10,-1,1.778,"",NaN,0,,"",NaN,-10,-1,1.778,"",NaN,0,,"",NaN,-10,-1,1.778,"",NaN,0,,"",NaN,-10,-1,1.778,"",NaN,0,,"",NaN,-10,-1,1.778,"",NaN,0,,""
-9.5,-0.95,1.7526,"",NaN,0,,"",NaN,-9.5,-0.95,1.7526,"",NaN,0,,"",NaN,-9.5,-28.5,2.13,NaN,NaN,0,,"",NaN,-9.5,-0.95,1.7526,"",NaN,0,,"",NaN,-9.5,-0.95,1.7526,"",NaN,0,,"",NaN,-9.5,-0.95,1.7526,"",NaN,0,,"",NaN,-9.5,-0.95,1.7526,"",NaN,0,,"",NaN,-9.5,-0.95,1.7526,"",NaN,0,,""
-9,-0.9,1.7272,"",NaN,0,,"",NaN,-9,-0.9,1.7272,"",NaN,0,,"",NaN,-9,-27,2.1,NaN,NaN,0,,"",NaN,-9,-0.9,1.7272,"",NaN,0,,"",NaN,-9,-0.9,1.7272,"",NaN,0,,"",NaN,-9,-0.9,1.7272,"",NaN,0,,"",NaN,-9,-0.9,1.7272,"",NaN,0,,"",NaN,-9,-0.9,1.7272,"",NaN,0,,""
-8.5,-0.85,1.7018,"",NaN,0,,"",NaN,-8.5,-0.85,1.7018,"",NaN,0,,"",NaN,-8.5,-25.5,2.07,NaN,NaN,0,,"",NaN,-8.5,-0.85,1.7018,"",NaN,0,,"",NaN,-8.5,-0.85,1.7018,"",NaN,0,,"",NaN,-8.5,-0.85,1.7018,"",NaN,0,,"",NaN,-8.5,-0.85,1.7018,"",NaN,0,,"",NaN,-8.5,-0.85,1.7018,"",NaN,0,,""
-8,-0.8,1.6764,"",NaN,0,,"",NaN,-8,-0.8,1.6764,"",NaN,0,,"",NaN,-8,-24,2.04,NaN,NaN,0,,"",NaN,-8,-0.8,1.6764,"",NaN,0,,"",NaN,-8,-0.8,1.6764,"",NaN,0,,"",NaN,-8,-0.8,1.6764,"",NaN,0,,"",NaN,-8,-0.8,1.6764,"",NaN,0,,"",NaN,-8,-0.8,1.6764,"",NaN,0,,""
-7.5,-0.75,1.651,"",NaN,0,,"",NaN,-7.5,-0.75,1.651,"",NaN,0,,"",NaN,-7.5,-22.5,2.01,NaN,NaN,0,,"",NaN,-7.5,-0.75,1.651,"",NaN,0,,"",NaN,-7.5,-0.75,1.651,"",NaN,0,,"",NaN,-7.5,-0.75,1.651,"",NaN,0,,"",NaN,-7.5,-0.75,1.651,"",NaN,0,,"",NaN,-7.5,-0.75,1.651,"",NaN,0,,""
-7,-0.7,1.6256,"",NaN,0,,"",NaN,-7,-0.7,1.6256,"",NaN,0,,"",NaN,-7,-21,1.98,NaN,NaN,0,,"",NaN,-7,-0.7,1.6256,"",NaN,0,,"",NaN,-7,-0.7,1.6256,"",NaN,0,,"",NaN,-7,-0.7,1.6256,"",NaN,0,,"",NaN,-7,-0.7,1.6256,"",NaN,0,,"",NaN,-7,-0.7,1.6256,"",NaN,0,,""
-6.5,-0.65,1.6002,"",NaN,0,,"",NaN,-6.5,-0.65,1.6002,"",NaN,0,,"",NaN,-6.5,-19.5,1.95,NaN,NaN,0,,"",NaN,-6.5,-0.65,1.6002,"",NaN,0,,"",NaN,-6.5,-0.65,1.6002,"",NaN,0,,"",NaN,-6.5,-0.65,1.6002,"",NaN,0,,"",NaN,-6.5,-0.65,1.6002,"",NaN,0,,"",NaN,-6.5,-0.65,1.6002,"",NaN,0,,""
-6,-0.6,1.5748,"",NaN,0,,"",NaN,-6,-0.6,1.5748,"",NaN,0,,"",NaN,-6,-18,1.92,NaN,NaN,0,,"",NaN,-6,-0.6,1.5748,"",NaN,0,,"",NaN,-6,-0.6,1.5748,"",NaN,0,,"",NaN,-6,-0.6,1.5748,"",NaN,0,,"",NaN,-6,-0.6,1.5748,"",NaN,0,,"",NaN,-6,-0.6,1.5748,"",NaN,0,,""
-5.5,-0.55,1.5494,"",NaN,0,,"",NaN,-5.5,-0.55,1.5494,"",NaN,0,,"",NaN,-5.5,-16.5,1.89,NaN,NaN,0,,"",NaN,-5.5,-0.55,1.5494,"",NaN,0,,"",NaN,-5.5,-0.55,1.5494,"",NaN,0,,"",NaN,-5.5,-0.55,1.5494,"",NaN,0,,"",NaN,-5.5,-0.55,1.5494,"",NaN,0,,"",NaN,-5.5,-0.55,1.5494,"",NaN,0,,""
-5,-0.5,1.524,"",NaN,0,,"",NaN,-5,-0.5,1.524,"",NaN,0,,"",NaN,-5,-15,1.86,NaN,NaN,0,,"",NaN,-5,-0.5,1.524,"",NaN,0,,"",NaN,-5,-0.5,1.524,"",NaN,0,,"",NaN,-5,-0.5,1.524,"",NaN,0,,"",NaN,-5,-0.5,1.524,"",NaN,0,,"",NaN,-5,-0.5,1.524,"",NaN,0,,""
-4.5,-0.45,1.4986,"",NaN,0,,"",NaN,-4.5,-0.45,1.4986,"",NaN,0,,"",NaN,-4.5,-13.5,1.83,NaN,NaN,0,,"",NaN,-4.5,-0.45,1.4986,"",NaN,0,,"",NaN,-4.5,-0.45,1.4986,"",NaN,0,,"",NaN,-4.5,-0.45,1.4986,"",NaN,0,,"",NaN,-4.5,-0.45,1.4986,"",NaN,0,,"",NaN,-4.5,-0.45,1.4986,"",NaN,0,,""
-4,-0.4,1.4732,"",NaN,0,,"",NaN,-4,-0.4,1.4732,"",NaN,0,,"",NaN,-4,-12,1.8,NaN,NaN,0,,"",NaN,-4,-0.4,1.4732,"",NaN,0,,"",NaN,-4,-0.4,1.4732,"",NaN,0,,"",NaN,-4,-0.4,1.4732,"",NaN,0,,"",NaN,-4,-0.4,1.4732,"",NaN,0,,"",NaN,-4,-0.4,1.4732,"",NaN,0,,""
-3.5,-0.35,1.4478,"",NaN,0,,"",NaN,-3.5,-0.35,1.4478,"",NaN,0,,"",NaN,-3.5,-10.5,1.77,NaN,NaN,0,,"",NaN,-3.5,-0.35,1.4478,"",NaN,0,,"",NaN,-3.5,-0.35,1.4478,"",NaN,0,,"",NaN,-3.5,-0.35,1.4478,"",NaN,0,,"",NaN,-3.5,-0.35,1.4478,"",NaN,0,,"",NaN,-3.5,-0.35,1.4478,"",NaN,0,,""
-3,-0.3,1.4224,"",NaN,0,,"",NaN,-3,-0.3,1.4224,"",NaN,0,,"",NaN,-3,-9,1.74,NaN,NaN,0,,"",NaN,-3,-0.3,1.4224,"",NaN,0,,"",NaN,-3,-0.3,1.4224,"",NaN,0,,"",NaN,-3,-0.3,1.4224,"",NaN,0,,"",NaN,-3,-0.3,1.4224,"",NaN,0,,"",NaN,-3,-0.3,1.4224,"",NaN,0,,""
-2.5,-0.25,1.397,"",NaN,0,,"",NaN,-2.5,-0.25,1.397,"",NaN,0,,"",NaN,-2.5,-7.5,1.71,NaN,NaN,0,,"",NaN,-2.5,-0.25,1.397,"",NaN,0,,"",NaN,-2.5,-0.25,1.397,"",NaN,0,,"",NaN,-2.5,-0.25,1.397,"",NaN,0,,"",NaN,-2.5,-0.25,1.397,"",NaN,0,,"",NaN,-2.5,-0.25,1.397,"",NaN,0,,""
-2,-0.2,1.3716,"",NaN,0,,"",NaN,-2,-0.2,1.3716,"",NaN,0,,"",NaN,-2,-6,1.68,NaN,NaN,0,,"",NaN,-2,-0.2,1.3716,"",NaN,0,,"",NaN,-2,-0.2,1.3716,"",NaN,0,,"",NaN,-2,-0.2,1.3716,"",NaN,0,,"",NaN,-2,-0.2,1.3716,"",NaN,0,,"",NaN,-2,-0.2,1.3716,"",NaN,0,,""
-1.5,-0.15,1.3462,"",NaN,0,,"",NaN,-1.5,-0.15,1.3462,"",NaN,0,,"",NaN,-1.5,-4.5,1.65,NaN,NaN,0,,"",NaN,-1.5,-0.15,1.3462,"",NaN,0,,"",NaN,-1.5,-0.15,1.3462,"",NaN,0,,"",NaN,-1.5,-0.15,1.3462,"",NaN,0,,"",NaN,-1.5,-0.15,1.3462,"",NaN,0,,"",NaN,-1.5,-0.15,1.3462,"",NaN,0,,""
-1,-0.1,1.3208,"",NaN,0,,"",NaN,-1,-0.1,1.3208,"",NaN,0,,"",NaN,-1,-3,1.62,NaN,NaN,0,,"",NaN,-1,-0.1,1.3208,"",NaN,0,,"",NaN,-1,-0.1,1.3208,"",NaN,0,,"",NaN,-1,-0.1,1.3208,"",NaN,0,,"",NaN,-1,-0.1,1.3208,"",NaN,0,,"",NaN,-1,-0.1,1.3208,"",NaN,0,,""
-0.5,-0.05,1.2954,"",NaN,0,,"",NaN,-0.5,-0.05,1.2954,"",NaN,0,,"",NaN,-0.5,-1.5,1.59,NaN,NaN,0,,"",NaN,-0.5,-0.05,1.2954,"",NaN,0,,"",NaN,-0.5,-0.05,1.2954,"",NaN,0,,"",NaN,-0.5,-0.05,1.2954,"",NaN,0,,"",NaN,-0.5,-0.05,1.2954,"",NaN,0,,"",NaN,-0.5,-0.05,1.2954,"",NaN,0,,""
0,0,1.27,"",NaN,0,,"",NaN,0,0,1.27,"",NaN,0,,"",NaN,0,0,1.56,151.5625,154.53125,2.96875,1,"0",NaN,0,0,1.27,"",NaN,0,,"",NaN,0,0,1.27,"",NaN,0,,"",NaN,0,0,1.27,"",NaN,0,,"",NaN,0,0,1.27,"",NaN,0,,"",NaN,0,0,1.27,"",NaN,0,,""
0.5,0.05,1.2446,"",NaN,0,,"",NaN,0.5,0.05,1.2446,"",NaN,0,,"",NaN,0.5,1.5,1.53,NaN,NaN,0,,"",NaN,0.5,0.05,1.2446,"",NaN,0,,"",NaN,0.5,0.05,1.2446,"",NaN,0,,"",NaN,0.5,0.05,1.2446,"",NaN,0,,"",NaN,0.5,0.05,1.2446,"",NaN,0,,"",NaN,0.5,0.05,1.2446,"",NaN,0,,""
1,0.1,1.2192,"",NaN,0,,"",NaN,1,0.1,1.2192,"",NaN,0,,"",NaN,1,3,1.5,151.5625,154.53125,2.96875,1,"0",NaN,1,0.1,1.2192,"",NaN,0,,"",NaN,1,0.1,1.2192,"",NaN,0,,"",NaN,1,0.1,1.2192,"",NaN,0,,"",NaN,1,0.1,1.2192,"",NaN,0,,"",NaN,1,0.1,1.2192,"",NaN,0,,""
1.5,0.15,1.1938,"",NaN,0,,"",NaN,1.5,0.15,1.1938,"",NaN,0,,"",NaN,1.5,4.5,1.47,NaN,NaN,0,,"",NaN,1.5,0.15,1.1938,"",NaN,0,,"",NaN,1.5,0.15,1.1938,"",NaN,0,,"",NaN,1.5,0.15,1.1938,"",NaN,0,,"",NaN,1.5,0.15,1.1938,"",NaN,0,,"",NaN,1.5,0.15,1.1938,"",NaN,0,,""
2,0.2,1.1684,"",NaN,0,,"",NaN,2,0.2,1.1684,"",NaN,0,,"",NaN,2,6,1.44,151.5625,154.53125,2.96875,1,"0",NaN,2,0.2,1.1684,"",NaN,0,,"",NaN,2,0.2,1.1684,"",NaN,0,,"",NaN,2,0.2,1.1684,"",NaN,0,,"",NaN,2,0.2,1.1684,"",NaN,0,,"",NaN,2,0.2,1.1684,"",NaN,0,,""
2.5,0.25,1.143,"",NaN,0,,"",NaN,2.5,0.25,1.143,"",NaN,0,,"",NaN,2.5,7.5,1.41,NaN,NaN,0,,"",NaN,2.5,0.25,1.143,"",NaN,0,,"",NaN,2.5,0.25,1.143,"",NaN,0,,"",NaN,2.5,0.25,1.143,"",NaN,0,,"",NaN,2.5,0.25,1.143,"",NaN,0,,"",NaN,2.5,0.25,1.143,"",NaN,0,,""
3,0.3,1.1176,"",NaN,0,,"",NaN,3,0.3,1.1176,"",NaN,0,,"",NaN,3,9,1.38,151.5625,154.53125,2.96875,1,"0",NaN,3,0.3,1.1176,"",NaN,0,,"",NaN,3,0.3,1.1176,"",NaN,0,,"",NaN,3,0.3,1.1176,"",NaN,0,,"",NaN,3,0.3,1.1176,"",NaN,0,,"",NaN,3,0.3,1.1176,"",NaN,0,,""
3.5,0.35,1.0922,"",NaN,0,,"",NaN,3.5,0.35,1.0922,"",NaN,0,,"",NaN,3.5,10.5,1.35,NaN,NaN,0,,"",NaN,3.5,0.35,1.0922,"",NaN,0,,"",NaN,3.5,0.35,1.0922,"",NaN,0,,"",NaN,3.5,0.35,1.0922,"",NaN,0,,"",NaN,3.5,0.35,1.0922,"",NaN,0,,"",NaN,3.5,0.35,1.0922,"",NaN,0,,""
4,0.4,1.0668,"",NaN,0,,"",NaN,4,0.4,1.0668,"",NaN,0,,"",NaN,4,12,1.32,151.5625,154.53125,2.96875,1,"0",NaN,4,0.4,1.0668,"",NaN,0,,"",NaN,4,0.4,1.0668,"",NaN,0,,"",NaN,4,0.4,1.0668,"",NaN,0,,"",NaN,4,0.4,1.0668,"",NaN,0,,"",NaN,4,0.4,1.0668,"",NaN,0,,""
4.5,0.45,1.0414,"",NaN,0,,"",NaN,4.5,0.45,1.0414,"",NaN,0,,"",NaN,4.5,13.5,1.29,NaN,NaN,0,,"",NaN,4.5,0.45,1.0414,"",NaN,0,,"",NaN,4.5,0.45,1.0414,"",NaN,0,,"",NaN,4.5,0.45,1.0414,"",NaN,0,,"",NaN,4.5,0.45,1.0414,"",NaN,0,,"",NaN,4.5,0.45,1.0414,"",NaN,0,,""
5,0.5,1.016,"",NaN,0,,"",NaN,5,0.5,1.016,"",NaN,0,,"",NaN,5,15,1.26,151.5625,154.53125,2.96875,1,"0",NaN,5,0.5,1.016,"",NaN,0,,"",NaN,5,0.5,1.016,"",NaN,0,,"",NaN,5,0.5,1.016,"",NaN,0,,"",NaN,5,0.5,1.016,"",NaN,0,,"",NaN,5,0.5,1.016,"",NaN,0,,""
5.5,0.55,0.9906,"",NaN,0,,"",NaN,5.5,0.55,0.9906,"",NaN,0,,"",NaN,5.5,16.5,1.23,NaN,NaN,0,,"",NaN,5.5,0.55,0.9906,"",NaN,0,,"",NaN,5.5,0.55,0.9906,"",NaN,0,,"",NaN,5.5,0.55,0.9906,"",NaN,0,,"",NaN,5.5,0.55,0.9906,"",NaN,0,,"",NaN,5.5,0.55,0.9906,"",NaN,0,,""
6,0.6,0.9652,"",NaN,0,,"",NaN,6,0.6,0.9652,"",NaN,0,,"",NaN,6,18,1.2,151.5625,154.53125,2.96875,1,"0",NaN,6,0.6,0.9652,"",NaN,0,,"",NaN,6,0.6,0.9652,"",NaN,0,,"",NaN,6,0.6,0.9652,"",NaN,0,,"",NaN,6,0.6,0.9652,"",NaN,0,,"",NaN,6,0.6,0.9652,"",NaN,0,,""
6.5,0.65,0.9398,"",NaN,0,,"",NaN,6.5,0.65,0.9398,"",NaN,0,,"",NaN,6.5,19.5,1.17,NaN,NaN,0,,"",NaN,6.5,0.65,0.9398,"",NaN,0,,"",NaN,6.5,0.65,0.9398,"",NaN,0,,"",NaN,6.5,0.65,0.9398,"",NaN,0,,"",NaN,6.5,0.65,0.9398,"",NaN,0,,"",NaN,6.5,0.65,0.9398,"",NaN,0,,""
7,0.7,0.9144,"",NaN,0,,"",NaN,7,0.7,0.9144,"",NaN,0,,"",NaN,7,21,1.14,151.5625,154.53125,2.96875,1,"0",NaN,7,0.7,0.9144,"",NaN,0,,"",NaN,7,0.7,0.9144,"",NaN,0,,"",NaN,7,0.7,0.9144,"",NaN,0,,"",NaN,7,0.7,0.9144,"",NaN,0,,"",NaN,7,0.7,0.9144,"",NaN,0,,""
7.5,0.75,0.889,"",NaN,0,,"",NaN,7.5,0.75,0.889,"",NaN,0,,"",NaN,7.5,22.5,1.11,NaN,NaN,0,,"",NaN,7.5,0.75,0.889,"",NaN,0,,"",NaN,7.5,0.75,0.889,"",NaN,0,,"",NaN,7.5,0.75,0.889,"",NaN,0,,"",NaN,7.5,0.75,0.889,"",NaN,0,,"",NaN,7.5,0.75,0.889,"",NaN,0,,""
8,0.8,0.8636,"",NaN,0,,"",NaN,8,0.8,0.8636,"",NaN,0,,"",NaN,8,24,1.08,151.59375,154.53125,2.9375,0.9947229183,"0",NaN,8,0.8,0.8636,"",NaN,0,,"",NaN,8,0.8,0.8636,"",NaN,0,,"",NaN,8,0.8,0.8636,"",NaN,0,,"",NaN,8,0.8,0.8636,"",NaN,0,,"",NaN,8,0.8,0.8636,"",NaN,0,,""
